Strike,BidVolP, AskVolP, BidVolC, AskVolC
2.5, NaN, 2.04429514512, 0.615135703608, 0.662235303847
2.25, NaN, 1.62281882469, 0.431009223728, 0.448602426853
2.0, 0.342037386122, 0.355478635618, 0.367043220442, 0.385942681283
2.15, NaN, 0.544184997958, 0.393748028712, 0.406336131348
2.2, NaN, 0.646090281719, 0.407388509682, 0.423722965332
2.45, NaN, 2.0300535707, 0.570420485067, 0.614804079889
1.8, 0.353911538449, 0.365382547348, 0.378397506214, 0.434326591195
1.85, 0.351463970611, 0.357463069781, 0.362558856063, 0.421332312749
2.35, NaN, 0.872284997819, 0.498459422756, 0.529528083551
2.4, NaN, 1.15400578729, 0.524354266646, 0.565895656437
1.95, 0.356334566171, 0.35894181798, 0.351620469294, 0.373347707027
1.9, 0.339075412084, 0.353209219688, 0.35723347956, 0.371181629437
2.1, 0.30380234523, 0.391816377852, 0.399616786818, 0.411949724651
2.6, NaN, 2.21748969117, 0.700886256946, 0.730260597485
2.3, NaN, 1.72966762162, 0.463100115286, 0.497575364349
2.55, NaN, 2.07639259452, 0.658596528094, 0.708298676436
2.05, 0.332738780079, 0.372400412451, 0.373281869842, 0.382015897161
