X, Y, Z, correlation_coefficient_rho(X_Z), theoretical_rho, rho(X_Z) - rho
2.378982, -0.122559, 1.083351, 0.488929, 0.500000, -0.011071 
0.019908, 0.599814, 0.529408, , ,
0.256356, 1.228141, 1.191780, , ,
0.666521, -0.840408, -0.394554, , ,
-0.719693, -0.512821, -0.803962, , ,
-2.140460, 0.692700, -0.470334, , ,
0.585295, 0.223793, 0.486458, , ,
0.056699, -0.163056, -0.112861, , ,
1.813419, -0.230710, 0.706909, , ,
-0.399109, 0.003132, -0.196842, , ,
1.314095, 2.442481, 2.772298, , ,
-1.761191, 0.631151, -0.334003, , ,
1.530324, -1.120699, -0.205391, , ,
0.636290, 0.178697, 0.472902, , ,
-0.495145, -0.087946, -0.323735, , ,
-0.387562, -1.009190, -1.067765, , ,
-0.031034, -0.205508, -0.193492, , ,
2.108567, 0.240040, 1.262165, , ,
-0.724683, -1.541272, -1.697122, , ,
0.890585, 0.187852, 0.607977, , ,
1.218813, -0.502019, 0.174645, , ,
-0.145796, 0.019701, -0.055837, , ,
-0.960482, -0.692114, -1.079629, , ,
0.671374, -0.817909, -0.372643, , ,
-0.927066, 1.985925, 1.256329, , ,
0.929746, 0.196102, 0.634702, , ,
0.097523, 0.608102, 0.575394, , ,
-0.303742, 0.238168, 0.054388, , ,
-0.641738, -0.173913, -0.471483, , ,
-0.120174, 0.019839, -0.042906, , ,
-0.258152, 1.323526, 1.017131, , ,
1.633900, 1.056297, 1.731730, , ,
1.446971, -0.492769, 0.296736, , ,
-1.082776, 0.733536, 0.093873, , ,
0.544021, -0.402001, -0.076133, , ,
1.812492, -0.650922, 0.342531, , ,
1.488652, -2.081086, -1.057948, , ,
0.277057, 0.609676, 0.666524, , ,
1.158097, 1.435789, 1.822478, , ,
0.929669, -0.319222, 0.188380, , ,
-0.535046, 0.715861, 0.352431, , ,
0.232242, 0.648398, 0.677650, , ,
-0.292845, -0.054582, -0.193692, , ,
-1.437514, -0.071572, -0.780740, , ,
-1.064629, 0.747822, 0.115319, , ,
-0.469431, -0.179493, -0.390161, , ,
-1.645882, -0.262025, -1.049862, , ,
0.064363, -1.822373, -1.546039, , ,
0.263039, 0.366706, 0.449096, , ,
-0.243723, 0.617679, 0.413065, , ,
-0.795007, 0.907859, 0.388725, , ,
0.607951, -1.351637, -0.866576, , ,
0.834992, 0.185196, 0.577880, , ,
0.379984, -0.975018, -0.654398, , ,
0.798165, -0.647762, -0.161896, , ,
0.080441, 0.428631, 0.411426, , ,
-0.929676, 0.114425, -0.365743, , ,
-0.149607, -0.531036, -0.534694, , ,
1.065074, 0.880033, 1.294668, , ,
0.298693, 0.737459, 0.788005, , ,
-1.119544, 2.145057, 1.297902, , ,
-0.388976, -1.190373, -1.225382, , ,
-0.678510, -1.877270, -1.965018, , ,
0.138116, 0.206242, 0.247669, , ,
0.186690, -0.178436, -0.061185, , ,
0.648267, 0.670977, 0.905217, , ,
0.069917, 0.312299, 0.305417, , ,
-0.361733, -1.795742, -1.736024, , ,
-0.226243, 0.247017, 0.100801, , ,
0.528339, 1.206917, 1.309390, , ,
0.451697, -0.938411, -0.586839, , ,
1.141680, 0.570548, 1.064949, , ,
-1.106912, -0.225544, -0.748783, , ,
1.815960, -0.304255, 0.644488, , ,
0.435525, -0.497678, -0.213239, , ,
-1.425237, -0.047560, -0.753807, , ,
0.115033, -1.617180, -1.343002, , ,
-1.023629, 0.433249, -0.136609, , ,
2.001712, 1.043319, 1.904397, , ,
-0.505545, -0.355219, -0.560401, , ,
0.945061, 0.798079, 1.163688, , ,
-0.454073, -0.256300, -0.448998, , ,
0.660710, -0.781822, -0.346723, , ,
0.710152, 1.509109, 1.662003, , ,
0.091457, -2.774337, -2.356918, , ,
1.259252, -0.305851, 0.364752, , ,
-1.142691, -0.398159, -0.916161, , ,
-0.638083, -1.056811, -1.234267, , ,
-1.752199, 0.430482, -0.503291, , ,
1.138601, -1.631866, -0.843937, , ,
0.530374, -0.543205, -0.205242, , ,
-0.949074, -0.028578, -0.499286, , ,
0.007091, -0.629902, -0.541966, , ,
1.415412, 0.141300, 0.830075, , ,
-0.141740, -0.944264, -0.888627, , ,
-0.167220, -1.375518, -1.274844, , ,
-0.775327, -1.099223, -1.339618, , ,
-0.414524, 0.556363, 0.274563, , ,
0.020488, 0.807515, 0.709573, , ,
-0.593486, 0.175519, -0.144739, , ,
