X, Y, Z, correlation_coefficient_rho(X_Z), theoretical_rho, rho(X_Z) - rho
1.651734, -1.430749, -0.413198, 0.498082, 0.500000, -0.001918 
-0.618401, 1.213237, 0.741493, , ,
-1.401654, -0.979462, -1.549066, , ,
-1.656809, -2.838131, -3.286299, , ,
0.642799, 0.195064, 0.490330, , ,
1.375873, 0.200885, 0.861908, , ,
1.374661, -0.552818, 0.208576, , ,
-0.247965, 0.635341, 0.426238, , ,
-0.891346, 0.676537, 0.140225, , ,
0.525098, -1.765384, -1.266318, , ,
-0.717585, -0.058877, -0.409782, , ,
0.399096, -0.132167, 0.085088, , ,
-0.634259, -0.626602, -0.859783, , ,
0.364167, -0.809241, -0.518740, , ,
0.711352, 0.449999, 0.745387, , ,
1.002279, -0.561426, 0.014931, , ,
-0.079272, 0.681763, 0.550788, , ,
-0.644586, -0.041383, -0.358131, , ,
-0.120384, -0.513267, -0.504694, , ,
1.087932, -1.750558, -0.972062, , ,
-0.228396, -0.378051, -0.441600, , ,
-0.265232, -0.051254, -0.177003, , ,
0.411546, -0.609129, -0.321748, , ,
1.624369, 0.111597, 0.908830, , ,
-0.066352, 1.515473, 1.279262, , ,
-0.352641, 1.331821, 0.977070, , ,
1.505352, -0.761343, 0.093334, , ,
1.086553, 0.829468, 1.261617, , ,
-1.123031, 0.557633, -0.078591, , ,
-1.401500, 1.226149, 0.361126, , ,
1.019397, -1.396721, -0.699897, , ,
-0.823960, 0.595608, 0.103831, , ,
-0.259329, 0.139568, -0.008795, , ,
0.241880, 0.121992, 0.226588, , ,
-1.648716, 0.286363, -0.576361, , ,
0.142110, -1.824106, -1.508667, , ,
0.578042, 0.360649, 0.601352, , ,
-0.552080, -2.322984, -2.287804, , ,
-0.869894, -2.241695, -2.376312, , ,
-0.520063, 1.257494, 0.828990, , ,
1.017374, 0.491293, 0.934159, , ,
-0.659424, 1.175072, 0.687930, , ,
0.091178, 0.532338, 0.506607, , ,
-0.348663, -2.172253, -2.055558, , ,
1.922850, 0.151125, 1.092303, , ,
-1.869060, -0.744852, -1.579591, , ,
-0.090538, 1.461159, 1.220131, , ,
0.137052, -0.396989, -0.275277, , ,
0.211331, -0.334747, -0.184234, , ,
-1.061653, -1.077883, -1.464300, , ,
-0.381964, -0.236795, -0.396052, , ,
0.263957, -1.757437, -1.390006, , ,
0.284542, 0.555710, 0.623530, , ,
-0.744486, -0.056105, -0.420831, , ,
-0.174329, 0.024176, -0.066228, , ,
-0.554806, 1.700170, 1.194987, , ,
2.484120, -0.456749, 0.846504, , ,
0.420927, 1.916272, 1.870004, , ,
0.360314, 0.553065, 0.659126, , ,
0.462632, -0.132934, 0.116192, , ,
2.205957, -0.847033, 0.369427, , ,
-0.771756, -0.953853, -1.211939, , ,
-0.187544, -0.155103, -0.228095, , ,
0.554517, 1.022162, 1.162477, , ,
-0.126991, 0.079510, 0.005362, , ,
-0.475790, -2.081426, -2.040463, , ,
2.205168, 0.427304, 1.472640, , ,
-0.096741, -0.090393, -0.126653, , ,
-1.103997, 0.823542, 0.161210, , ,
0.625393, 0.906290, 1.097567, , ,
0.873749, 0.265617, 0.666906, , ,
-1.060029, 0.311262, -0.260454, , ,
-1.074792, -1.447068, -1.790594, , ,
-0.386019, -1.277027, -1.298948, , ,
0.396455, 0.950858, 1.021694, , ,
2.241813, -0.121984, 1.015265, , ,
-0.481309, 0.211683, -0.057331, , ,
-0.869053, -0.410001, -0.789597, , ,
-0.346828, 1.598335, 1.210785, , ,
-0.554794, 0.239116, -0.070317, , ,
-2.113237, -0.156893, -1.192491, , ,
0.357603, -0.454701, -0.214981, , ,
-1.033790, -0.429390, -0.888758, , ,
-0.232719, -1.140534, -1.104091, , ,
-0.945223, -0.369513, -0.792620, , ,
1.820140, -1.823807, -0.669393, , ,
-1.602108, 0.942187, 0.014904, , ,
0.122222, 0.455393, 0.455493, , ,
-0.247150, -0.284713, -0.370144, , ,
1.679624, 0.667709, 1.418065, , ,
0.831827, 1.669277, 1.861550, , ,
1.289377, -0.253448, 0.425196, , ,
0.117189, -0.460918, -0.340572, , ,
-0.102346, 2.011075, 1.690469, , ,
-0.297172, -0.043051, -0.185869, , ,
0.936997, 1.030828, 1.361222, , ,
-0.911806, -0.043483, -0.493560, , ,
1.635806, 0.780941, 1.494218, , ,
-0.166328, -0.057734, -0.133163, , ,
0.351806, 1.728349, 1.672697, , ,
