X, Y, Z, correlation_coefficient_rho(X_Z), theoretical_rho, rho(X_Z) - rho
0.582930, 0.432772, 0.666257, 0.513035, 0.500000, 0.013035 
-2.006967, -0.936794, -1.814771, , ,
-0.417543, 1.754578, 1.310737, , ,
-0.578870, -1.085615, -1.229605, , ,
0.675377, -0.155734, 0.202819, , ,
-0.644458, 0.797975, 0.368837, , ,
0.578719, -0.147171, 0.161905, , ,
-0.351582, 1.369997, 1.010661, , ,
-0.363192, -1.708096, -1.660850, , ,
-2.316516, -0.407635, -1.511280, , ,
1.245444, 0.495683, 1.051996, , ,
0.448098, -1.620952, -1.179737, , ,
0.443540, 0.538175, 0.687843, , ,
1.072397, -0.494886, 0.107614, , ,
0.202553, 0.153705, 0.234389, , ,
-0.564274, 1.062858, 0.638325, , ,
-1.145808, 1.189475, 0.457212, , ,
-0.307283, -1.190480, -1.184627, , ,
-0.231799, 0.138953, 0.004437, , ,
-0.798647, -1.448796, -1.654017, , ,
-2.179517, 0.451857, -0.698439, , ,
-0.827061, 0.747273, 0.233627, , ,
0.407975, -0.143784, 0.079467, , ,
0.003042, -0.732247, -0.632623, , ,
0.840938, -0.054014, 0.373691, , ,
0.137922, -0.027821, 0.044867, , ,
-0.676314, -0.282261, -0.582602, , ,
-1.030005, -0.312226, -0.785399, , ,
1.671740, 0.162589, 0.976676, , ,
0.273804, 1.744404, 1.647600, , ,
0.121165, -0.700030, -0.545661, , ,
0.131336, -2.001506, -1.667687, , ,
-1.333090, 0.666967, -0.088935, , ,
-1.041600, -0.332351, -0.808624, , ,
-1.697286, 1.502575, 0.452625, , ,
-0.231960, -0.007569, -0.122535, , ,
1.211079, 1.309471, 1.739575, , ,
1.058817, -1.019797, -0.353761, , ,
-0.124181, -1.456021, -1.323042, , ,
0.072928, -0.269389, -0.196833, , ,
-0.167769, -0.830224, -0.802879, , ,
-0.355542, -0.108804, -0.271998, , ,
0.706683, -1.885723, -1.279743, , ,
1.206881, -0.030360, 0.577148, , ,
0.845478, 0.340899, 0.717966, , ,
0.926129, -0.303560, 0.200174, , ,
0.531403, -0.410507, -0.089808, , ,
-0.175305, 0.211336, 0.095369, , ,
-2.386270, 0.746553, -0.546601, , ,
0.450316, 0.901241, 1.005656, , ,
1.464418, -0.087252, 0.656646, , ,
-0.491445, -0.898025, -1.023435, , ,
1.809476, -0.038176, 0.871676, , ,
-0.967226, 0.219896, -0.293178, , ,
0.816419, 0.287362, 0.657072, , ,
0.148807, -0.777094, -0.598580, , ,
0.112438, -1.140069, -0.931109, , ,
1.633315, -0.290375, 0.565185, , ,
-0.044676, 0.451667, 0.368817, , ,
-0.495399, 1.975377, 1.463027, , ,
0.789604, 0.316418, 0.668828, , ,
-0.943134, -1.739172, -1.977734, , ,
-1.231451, 1.641322, 0.805701, , ,
-0.455063, -1.744277, -1.738119, , ,
0.000349, -1.001923, -0.867516, , ,
-0.385769, 0.550754, 0.284082, , ,
0.685309, 0.012699, 0.353652, , ,
1.221062, -0.024617, 0.589212, , ,
-2.331944, -0.528329, -1.623518, , ,
0.858938, 0.781808, 1.106535, , ,
-0.791001, -1.198641, -1.433554, , ,
-0.737323, -0.747325, -1.015864, , ,
-0.169887, 2.438656, 2.026995, , ,
-1.212866, 0.766641, 0.057498, , ,
0.529309, 0.420019, 0.628401, , ,
-1.607441, 0.681803, -0.213262, , ,
-0.674826, -0.605949, -0.862180, , ,
-0.117773, -1.259735, -1.149849, , ,
1.028034, 2.296407, 2.502764, , ,
-1.783992, 0.203802, -0.715499, , ,
1.461896, -0.310319, 0.462204, , ,
0.931064, -0.300977, 0.204879, , ,
0.025318, -0.418256, -0.349561, , ,
1.147949, 2.346780, 2.606346, , ,
-0.114273, 0.271116, 0.177657, , ,
0.397658, 1.023573, 1.085269, , ,
-0.156307, 1.565777, 1.277850, , ,
0.419845, 0.336136, 0.501025, , ,
-1.020297, 0.381334, -0.179904, , ,
-0.465196, 0.442513, 0.150630, , ,
0.946596, 0.642824, 1.030000, , ,
0.063236, -1.930054, -1.639858, , ,
-1.177036, -0.078032, -0.656096, , ,
1.174354, 1.474738, 1.864338, , ,
-0.491083, -0.727163, -0.875283, , ,
0.221165, -0.592506, -0.402543, , ,
1.119583, 0.542965, 1.030013, , ,
-0.550365, 0.680146, 0.313841, , ,
0.931338, 0.623957, 1.006032, , ,
-0.356075, -0.109468, -0.272839, , ,
