Strike,BidVolP, AskVolP, BidVolC, AskVolC
2.5, NaN, 2.02804426714, 0.617450171812, 0.664698423989
2.25, NaN, 1.60273389426, 0.433715526091, 0.451395648425
2.0, 0.341507775331, 0.361834324408, 0.371468781756, 0.383852763133
2.15, NaN, 0.523710513386, 0.390340350399, 0.412783558076
2.2, NaN, 0.612553674433, 0.410343776236, 0.426767516321
2.45, NaN, 2.01483762965, 0.57275125259, 0.617286170373
1.8, 0.350454583402, 0.375069082022, 0.420110643931, 0.46752455874
1.85, 0.345549215552, 0.347055980724, 0.344588238382, 0.394160442735
2.35, NaN, 0.918865241375, 0.500919600283, 0.532113602477
2.4, NaN, 1.12490322187, 0.526703622159, 0.568399414785
1.95, 0.35138167718, 0.36268416182, 0.359630973604, 0.375280886905
1.9, 0.339272877237, 0.354262898603, 0.341207354304, 0.370013097611
2.1, 0.300947324237, 0.414051405854, 0.398183712254, 0.421248826999
2.6, NaN, 2.20045015592, 0.70317331679, 0.732629292968
2.3, NaN, 1.71585781258, 0.465658598035, 0.500286395287
2.55, NaN, 2.05921860948, 0.660896537727, 0.710744992142
2.05, 0.340239853577, 0.372265245496, 0.371766831235, 0.38319043716
